track_name,album,year,valence,energy,danceability
mad woman - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.346,0.465,0.663
mirrorball,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.347,0.417,0.549
mirrorball - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.109,0.386,0.509
my tears ricochet,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.112,0.265,0.456
my tears ricochet - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.168,0.172,0.531
peace,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.328,0.284,0.644
peace - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.513,0.344,0.619
seven,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.374,0.494,0.602
seven - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.363,0.449,0.694
the 1,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.163,0.361,0.78
the 1 - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.156,0.25,0.708
the lakes - bonus track,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.268,0.258,0.313
the lakes - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.112,0.221,0.606
the last great american dynasty,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.701,0.653,0.688
the last great american dynasty - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.614,0.618,0.64
this is me trying,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.408,0.478,0.511
this is me trying - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.157,0.332,0.435
Breathe (feat. Colbie Caillat) (Taylor’s Version),Fearless (Taylor's Version),2021,0.321,0.626,0.506
Bye Bye Baby (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021,0.527,0.624,0.624
Change (Taylor’s Version),Fearless (Taylor's Version),2021,0.344,0.815,0.499
Come In With The Rain (Taylor’s Version),Fearless (Taylor's Version),2021,0.167,0.564,0.476
Don’t You (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021,0.405,0.473,0.563
Fearless (Taylor’s Version),Fearless (Taylor's Version),2021,0.43,0.741,0.569
Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021,0.289,0.646,0.559
Forever & Always (Piano Version) (Taylor’s Version),Fearless (Taylor's Version),2021,0.271,0.273,0.546
Forever & Always (Taylor’s Version),Fearless (Taylor's Version),2021,0.673,0.821,0.598
Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),2021,0.797,0.571,0.788
Jump Then Fall (Taylor’s Version),Fearless (Taylor's Version),2021,0.624,0.69,0.572
Love Story (Taylor’s Version),Fearless (Taylor's Version),2021,0.415,0.792,0.627
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021,0.714,0.817,0.66
Superstar (Taylor’s Version),Fearless (Taylor's Version),2021,0.171,0.555,0.454
Tell Me Why (Taylor’s Version),Fearless (Taylor's Version),2021,0.541,0.909,0.578
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021,0.508,0.608,0.588
The Best Day (Taylor’s Version),Fearless (Taylor's Version),2021,0.469,0.576,0.642
The Other Side Of The Door (Taylor’s Version),Fearless (Taylor's Version),2021,0.629,0.873,0.432
The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),2021,0.472,0.732,0.402
Today Was A Fairytale (Taylor’s Version),Fearless (Taylor's Version),2021,0.328,0.779,0.482
Untouchable (Taylor’s Version),Fearless (Taylor's Version),2021,0.224,0.531,0.393
We Were Happy (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021,0.13,0.373,0.609
White Horse (Taylor’s Version),Fearless (Taylor's Version),2021,0.366,0.517,0.423
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021,0.44,0.494,0.599
You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),2021,0.474,0.773,0.632
You’re Not Sorry (Taylor’s Version),Fearless (Taylor's Version),2021,0.241,0.444,0.506
22 (Taylor's Version),Red (Taylor's Version),2021,0.642,0.695,0.642
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),2021,0.205,0.518,0.631
All Too Well (Taylor's Version),Red (Taylor's Version),2021,0.132,0.528,0.44
Babe (Taylor's Version) (From The Vault),Red (Taylor's Version),2021,0.746,0.743,0.584
Begin Again (Taylor's Version),Red (Taylor's Version),2021,0.267,0.527,0.519
Better Man (Taylor's Version) (From The Vault),Red (Taylor's Version),2021,0.255,0.579,0.473
Come Back...Be Here (Taylor's Version),Red (Taylor's Version),2021,0.399,0.632,0.46
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Red (Taylor's Version),2021,0.474,0.61,0.498
Forever Winter (Taylor's Version) (From The Vault),Red (Taylor's Version),2021,0.41,0.552,0.611
Girl At Home (Taylor's Version),Red (Taylor's Version),2021,0.612,0.736,0.691
Holy Ground (Taylor's Version),Red (Taylor's Version),2021,0.511,0.809,0.622
I Almost Do (Taylor's Version),Red (Taylor's Version),2021,0.248,0.559,0.511
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Red (Taylor's Version),2021,0.473,0.715,0.391
I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),2021,0.767,0.557,0.584
Message In A Bottle (Taylor's Version) (From The Vault),Red (Taylor's Version),2021,0.494,0.791,0.622
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Red (Taylor's Version),2021,0.446,0.377,0.606
Red (Taylor's Version),Red (Taylor's Version),2021,0.408,0.777,0.516
Ronan (Taylor's Version),Red (Taylor's Version),2021,0.38,0.279,0.623
Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),Red (Taylor's Version),2021,0.443,0.488,0.61
Sad Beautiful Tragic (Taylor's Version),Red (Taylor's Version),2021,0.232,0.406,0.601
Starlight (Taylor's Version),Red (Taylor's Version),2021,0.605,0.685,0.628
State Of Grace (Acoustic Version) (Taylor's Version),Red (Taylor's Version),2021,0.101,0.131,0.445
State Of Grace (Taylor's Version),Red (Taylor's Version),2021,0.328,0.713,0.594
Stay Stay Stay (Taylor's Version),Red (Taylor's Version),2021,0.663,0.681,0.693
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Red (Taylor's Version),2021,0.155,0.534,0.502
The Lucky One (Taylor's Version),Red (Taylor's Version),2021,0.538,0.571,0.686
The Moment I Knew (Taylor's Version),Red (Taylor's Version),2021,0.208,0.402,0.636
The Very First Night (Taylor's Version) (From The Vault),Red (Taylor's Version),2021,0.581,0.733,0.678
Treacherous (Taylor's Version),Red (Taylor's Version),2021,0.299,0.593,0.645
We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),2021,0.716,0.686,0.567
champagne problems,evermore (deluxe version),2021,0.32,0.24,0.462
closure,evermore (deluxe version),2021,0.92,0.704,0.689
coney island (feat. The National),evermore (deluxe version),2021,0.292,0.537,0.537
cowboy like me,evermore (deluxe version),2021,0.511,0.517,0.604
dorothea,evermore (deluxe version),2021,0.354,0.488,0.605
evermore (feat. Bon Iver),evermore (deluxe version),2021,0.32,0.27,0.39
gold rush,evermore (deluxe version),2021,0.353,0.462,0.512
happiness,evermore (deluxe version),2021,0.211,0.334,0.559
it’s time to go - bonus track,evermore (deluxe version),2021,0.416,0.41,0.592
ivy,evermore (deluxe version),2021,0.535,0.545,0.515
long story short,evermore (deluxe version),2021,0.573,0.73,0.546
marjorie,evermore (deluxe version),2021,0.287,0.561,0.535
"no body, no crime (feat. HAIM)",evermore (deluxe version),2021,0.535,0.613,0.546
right where you left me - bonus track,evermore (deluxe version),2021,0.645,0.619,0.581
tolerate it,evermore (deluxe version),2021,0.221,0.361,0.316
willow,evermore (deluxe version),2021,0.529,0.574,0.392
‘tis the damn season,evermore (deluxe version),2021,0.348,0.434,0.575
Anti-Hero,Midnights,2022,0.49,0.648,0.633
Bejeweled,Midnights,2022,0.443,0.551,0.687
Karma,Midnights,2022,0.121,0.619,0.64
Labyrinth,Midnights,2022,0.132,0.295,0.48
Lavender Haze,Midnights,2022,0.0955,0.449,0.735
Maroon,Midnights,2022,0.0384,0.384,0.655
Mastermind,Midnights,2022,0.137,0.343,0.66
Midnight Rain,Midnights,2022,0.203,0.375,0.604
Question...?,Midnights,2022,0.105,0.51,0.654
Snow On The Beach (feat. Lana Del Rey),Midnights,2022,0.153,0.321,0.663
Sweet Nothing,Midnights,2022,0.407,0.161,0.336
Vigilante Shit,Midnights,2022,0.168,0.267,0.872
"You're On Your Own, Kid",Midnights,2022,0.395,0.39,0.696
Anti-Hero,Midnights (3am Edition),2022,0.49,0.648,0.633
Bejeweled,Midnights (3am Edition),2022,0.443,0.551,0.687
Bigger Than The Whole Sky,Midnights (3am Edition),2022,0.0705,0.22,0.42
Dear Reader,Midnights (3am Edition),2022,0.151,0.39,0.674
Glitch,Midnights (3am Edition),2022,0.347,0.47,0.677
High Infidelity,Midnights (3am Edition),2022,0.768,0.547,0.571
Karma,Midnights (3am Edition),2022,0.121,0.619,0.64
Labyrinth,Midnights (3am Edition),2022,0.132,0.295,0.48
Lavender Haze,Midnights (3am Edition),2022,0.0955,0.449,0.735
Maroon,Midnights (3am Edition),2022,0.0384,0.384,0.655
Mastermind,Midnights (3am Edition),2022,0.137,0.343,0.66
Midnight Rain,Midnights (3am Edition),2022,0.203,0.375,0.604
Paris,Midnights (3am Edition),2022,0.347,0.518,0.703
Question...?,Midnights (3am Edition),2022,0.105,0.51,0.654
Snow On The Beach (feat. Lana Del Rey),Midnights (3am Edition),2022,0.153,0.321,0.663
Sweet Nothing,Midnights (3am Edition),2022,0.407,0.161,0.336
The Great War,Midnights (3am Edition),2022,0.574,0.747,0.57
Vigilante Shit,Midnights (3am Edition),2022,0.168,0.267,0.872
"Would've, Could've, Should've",Midnights (3am Edition),2022,0.548,0.846,0.485
"You're On Your Own, Kid",Midnights (3am Edition),2022,0.395,0.39,0.696
"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),2023,0.313,0.415,0.621
All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version),2023,0.54,0.713,0.589
Bad Blood (Taylor's Version),1989 (Taylor's Version),2023,0.347,0.711,0.624
Blank Space (Taylor's Version),1989 (Taylor's Version),2023,0.71,0.719,0.732
Clean (Taylor's Version),1989 (Taylor's Version),2023,0.267,0.379,0.782
How You Get The Girl (Taylor's Version),1989 (Taylor's Version),2023,0.519,0.67,0.761
I Know Places (Taylor's Version),1989 (Taylor's Version),2023,0.626,0.807,0.572
I Wish You Would (Taylor's Version),1989 (Taylor's Version),2023,0.523,0.853,0.671
Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),2023,0.153,0.651,0.599
New Romantics (Taylor's Version),1989 (Taylor's Version),2023,0.724,0.848,0.653
Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version),2023,0.0768,0.509,0.8
Out Of The Woods (Taylor's Version),1989 (Taylor's Version),2023,0.184,0.884,0.544
Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version),2023,0.186,0.539,0.632
Shake It Off (Taylor's Version),1989 (Taylor's Version),2023,0.903,0.805,0.632
Style (Taylor's Version),1989 (Taylor's Version),2023,0.298,0.821,0.514
Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version),2023,0.394,0.607,0.695
This Love (Taylor’s Version),1989 (Taylor's Version),2023,0.0524,0.494,0.47
Welcome To New York (Taylor's Version),1989 (Taylor's Version),2023,0.685,0.602,0.76
Wildest Dreams (Taylor's Version),1989 (Taylor's Version),2023,0.539,0.663,0.587
Wonderland (Taylor's Version),1989 (Taylor's Version),2023,0.32,0.703,0.387
You Are In Love (Taylor's Version),1989 (Taylor's Version),2023,0.401,0.509,0.554
"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version) [Deluxe],2023,0.313,0.415,0.621
All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023,0.54,0.713,0.589
Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023,0.347,0.711,0.624
Bad Blood (feat. Kendrick Lamar) (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023,0.197,0.644,0.604
Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023,0.71,0.719,0.732
Clean (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023,0.267,0.379,0.782
How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023,0.519,0.67,0.761
I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023,0.626,0.807,0.572
I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023,0.523,0.853,0.671
Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],2023,0.153,0.651,0.599
New Romantics (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023,0.724,0.848,0.653
Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],2023,0.0768,0.509,0.8
Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023,0.184,0.884,0.544
Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],2023,0.186,0.539,0.632
Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023,0.903,0.805,0.632
Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023,0.298,0.821,0.514
Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],2023,0.394,0.607,0.695
This Love (Taylor’s Version),1989 (Taylor's Version) [Deluxe],2023,0.0524,0.494,0.47
Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023,0.685,0.602,0.76
Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023,0.539,0.663,0.587
Wonderland (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023,0.32,0.703,0.387
You Are In Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023,0.401,0.509,0.554
Anti-Hero,Midnights (The Til Dawn Edition),2023,0.49,0.648,0.633
Bejeweled,Midnights (The Til Dawn Edition),2023,0.443,0.551,0.687
Bigger Than The Whole Sky,Midnights (The Til Dawn Edition),2023,0.0705,0.22,0.42
Dear Reader,Midnights (The Til Dawn Edition),2023,0.151,0.39,0.674
Glitch,Midnights (The Til Dawn Edition),2023,0.347,0.47,0.677
High Infidelity,Midnights (The Til Dawn Edition),2023,0.768,0.547,0.571
Hits Different,Midnights (The Til Dawn Edition),2023,0.261,0.786,0.666
Karma,Midnights (The Til Dawn Edition),2023,0.121,0.619,0.64
Karma (feat. Ice Spice),Midnights (The Til Dawn Edition),2023,0.0705,0.626,0.615
Labyrinth,Midnights (The Til Dawn Edition),2023,0.132,0.295,0.48
Lavender Haze,Midnights (The Til Dawn Edition),2023,0.0955,0.449,0.735
Maroon,Midnights (The Til Dawn Edition),2023,0.0384,0.384,0.655
Mastermind,Midnights (The Til Dawn Edition),2023,0.137,0.343,0.66
Midnight Rain,Midnights (The Til Dawn Edition),2023,0.203,0.375,0.604
Paris,Midnights (The Til Dawn Edition),2023,0.347,0.518,0.703
Question...?,Midnights (The Til Dawn Edition),2023,0.105,0.51,0.654
Snow On The Beach (feat. Lana Del Rey),Midnights (The Til Dawn Edition),2023,0.153,0.321,0.663
Snow On The Beach (feat. More Lana Del Rey),Midnights (The Til Dawn Edition),2023,0.265,0.399,0.664
Sweet Nothing,Midnights (The Til Dawn Edition),2023,0.407,0.161,0.336
The Great War,Midnights (The Til Dawn Edition),2023,0.574,0.747,0.57
Vigilante Shit,Midnights (The Til Dawn Edition),2023,0.168,0.267,0.872
"Would've, Could've, Should've",Midnights (The Til Dawn Edition),2023,0.548,0.846,0.485
"You're On Your Own, Kid",Midnights (The Til Dawn Edition),2023,0.395,0.39,0.696
Back To December (Taylor's Version),Speak Now (Taylor's Version),2023,0.235,0.635,0.486
Better Than Revenge (Taylor's Version),Speak Now (Taylor's Version),2023,0.659,0.893,0.505
Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023,0.351,0.565,0.578
Dear John (Taylor's Version),Speak Now (Taylor's Version),2023,0.115,0.468,0.379
Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023,0.26,0.854,0.547
Enchanted (Taylor's Version),Speak Now (Taylor's Version),2023,0.227,0.553,0.52
Foolish One (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023,0.557,0.613,0.672
Haunted (Taylor's Version),Speak Now (Taylor's Version),2023,0.371,0.916,0.44
I Can See You (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023,0.813,0.768,0.695
Innocent (Taylor's Version),Speak Now (Taylor's Version),2023,0.126,0.611,0.524
Last Kiss (Taylor's Version),Speak Now (Taylor's Version),2023,0.187,0.362,0.557
Long Live (Taylor's Version),Speak Now (Taylor's Version),2023,0.0984,0.628,0.38
Mean (Taylor's Version),Speak Now (Taylor's Version),2023,0.596,0.7,0.526
Mine (Taylor's Version),Speak Now (Taylor's Version),2023,0.5,0.793,0.647
Never Grow Up (Taylor's Version),Speak Now (Taylor's Version),2023,0.572,0.339,0.684
Ours (Taylor’s Version),Speak Now (Taylor's Version),2023,0.293,0.475,0.539
Sparks Fly (Taylor’s Version),Speak Now (Taylor's Version),2023,0.366,0.769,0.605
Speak Now (Taylor's Version),Speak Now (Taylor's Version),2023,0.598,0.686,0.734
Superman (Taylor’s Version),Speak Now (Taylor's Version),2023,0.347,0.733,0.537
The Story Of Us (Taylor's Version),Speak Now (Taylor's Version),2023,0.552,0.784,0.516
Timeless (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023,0.651,0.578,0.629
When Emma Falls in Love (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023,0.234,0.759,0.524
But Daddy I Love Him,THE TORTURED POETS DEPARTMENT,2024,0.438,0.72,0.521
Clara Bow,THE TORTURED POETS DEPARTMENT,2024,0.214,0.318,0.686
Down Bad,THE TORTURED POETS DEPARTMENT,2024,0.168,0.366,0.541
Florida!!! (feat. Florence + The Machine),THE TORTURED POETS DEPARTMENT,2024,0.398,0.573,0.533
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,2024,0.281,0.386,0.504
Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT,2024,0.34,0.483,0.33
Guilty as Sin?,THE TORTURED POETS DEPARTMENT,2024,0.487,0.428,0.626
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,2024,0.22,0.751,0.701
I Can Fix Him (No Really I Can),THE TORTURED POETS DEPARTMENT,2024,0.318,0.257,0.661
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT,2024,0.481,0.563,0.596
"So Long, London",THE TORTURED POETS DEPARTMENT,2024,0.248,0.533,0.423
The Alchemy,THE TORTURED POETS DEPARTMENT,2024,0.353,0.421,0.64
The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT,2024,0.263,0.41,0.426
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT,2024,0.292,0.428,0.604
Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT,2024,0.238,0.338,0.606
loml,THE TORTURED POETS DEPARTMENT,2024,0.195,0.272,0.423
But Daddy I Love Him,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.438,0.72,0.521
Cassandra,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.514,0.587,0.587
Chloe or Sam or Sophia or Marcus,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.218,0.451,0.516
Clara Bow,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.214,0.318,0.686
Down Bad,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.168,0.366,0.541
Florida!!! (feat. Florence + The Machine),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.398,0.573,0.533
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.281,0.386,0.504
Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.34,0.483,0.33
Guilty as Sin?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.487,0.428,0.626
How Did It End?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.273,0.379,0.492
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.22,0.751,0.701
I Can Fix Him (No Really I Can),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.318,0.257,0.661
I Hate It Here,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.297,0.562,0.485
I Look in People's Windows,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.385,0.274,0.763
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.481,0.563,0.596
Peter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.29,0.376,0.342
Robin,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.158,0.386,0.476
So High School,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.293,0.866,0.366
"So Long, London",THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.248,0.533,0.423
The Albatross,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.292,0.479,0.352
The Alchemy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.353,0.421,0.64
The Black Dog,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.23,0.27,0.527
The Bolter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.481,0.586,0.455
The Manuscript,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.436,0.256,0.509
The Prophecy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.535,0.525,0.421
The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.263,0.41,0.426
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.292,0.428,0.604
Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.238,0.338,0.606
imgonnagetyouback,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.15,0.391,0.784
loml,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.195,0.272,0.423
thanK you aIMee,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,0.252,0.541,0.609
